HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spndng_Per_Dsg_Unt_2020,Avg_Spndng_Per_Clm_2020,Avg_Spndng_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spndng_Per_Dsg_Unt_2021,Avg_Spndng_Per_Clm_2021,Avg_Spndng_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spndng_Per_Dsg_Unt_2022,Avg_Spndng_Per_Clm_2022,Avg_Spndng_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spndng_Per_Dsg_Unt_2023,Avg_Spndng_Per_Clm_2023,Avg_Spndng_Per_Bene_2023,Outlier_Flag_2023,Tot_Spndng_2024,Tot_Dsg_Unts_2024,Tot_Clms_2024,Tot_Benes_2024,Avg_Spndng_Per_Dsg_Unt_2024,Avg_Spndng_Per_Clm_2024,Avg_Spndng_Per_Bene_2024,Outlier_Flag_2024,Avg_DY24_ASP_Price,Chg_Avg_Spndng_Per_Dsg_Unt_23_24,CAGR_Avg_Spnd_Per_Dsg_Unt_20_24,spending_growth,is_new_drug
J9380,"Injection, teclistamab-cqyv, 0.5 mg",Tecvayli,Teclistamab-Cqyv,,,,,,,,,,,,,,,,,,,,,,,,,88245815.4,2977826.0,8957.0,987.0,29.63430886,9852.162041,89408.12097,0.0,199895745.7,6503623.0,19555,1549.0,30.73605984,10222.23195,129048.2542,0,31.33475,0.037178224,0.037178224,,True
J9381,"Injection, teplizumab-mzwv, 5 mcg",Tzield,Teplizumab-Mzwv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403714.57,11201.0,29,,36.04272565,13921.19207,,0,36.621,,,,True
J9390,"Injection, vinorelbine tartrate, 10 mg",Navelbine*,Vinorelbine Tartrate*,221016.4,30663.0,7055.0,900.0,7.207918338,31.3276258,245.5737778,0.0,257234.08,25761.0,5872.0,756.0,9.985407399,43.80689373,340.2567196,0.0,191493.38,19375.0,4505.0,593.0,9.88352929,42.50685461,322.9230691,0.0,128442.38,15888.4,3679.0,473.0,8.084034893,34.91230769,271.5483721,0.0,96367.7,12364.0,2839,368.0,7.794217082,33.94424093,261.86875,0,7.9265,-0.035850638,0.019742829,16.386874458184998,False
J9394,"Injection, fulvestrant (fresenius kabi) not therapeutically equivalent to j9395, 25 mg",Fulvestrant,Fulvestrant,,,,,,,,,,,,,,,,,,,,,,,,,3579401.45,222146.0,10886.0,2484.0,16.11283323,328.807776,1440.98287,1.0,4506277.07,140697.0,6980,2044.0,32.02823848,645.5984341,2204.636531,0,30.88575,0.98774716,0.98774716,,True
J9395,"Injection, fulvestrant, 25 mg",Faslodex*,Fulvestrant*,169176633.4,3073071.0,153556.0,20323.0,55.051326,1101.725973,8324.392729,1.0,99529826.37,3076780.0,153458.0,19829.0,32.34869779,648.5802394,5019.407251,0.0,38648983.04,3019717.0,150702.0,19238.0,12.79887587,256.4596558,2008.991737,0.0,27127869.89,2591804.0,129237.0,17199.0,10.46679066,209.9079203,1577.293441,0.0,21891999.45,2712410.0,135166,17770.0,8.071051003,161.9638034,1231.963953,0,8.2115,-0.228889612,-0.381213861,-41.168100836554416,False
J9400,"Injection, ziv-aflibercept, 1 mg",Zaltrap,Ziv-Aflibercept,1827499.69,232944.0,713.0,140.0,7.845231858,2563.11317,13053.56921,0.0,1517399.73,192990.0,598.0,109.0,7.862582155,2537.457743,13921.09844,0.0,1360530.97,177055.0,551.0,95.0,7.684227895,2469.203212,14321.37863,0.0,683080.05,97108.0,322.0,63.0,7.034230445,2121.366615,10842.54048,0.0,254570.79,37673.0,110,25.0,6.757380352,2314.279909,10182.8316,0,6.88975,-0.039357552,-0.036629939,-16.968536941311328,False
P9041,"Infusion, albumin (human), 5%, 50 ml",Albumin (Human)*,Albumin Human*,1874603.19,216437.0,3329.0,970.0,8.66119559,563.1130039,1932.580608,0.0,1519574.74,173151.0,2904.0,930.0,8.776009033,523.2695386,1633.951333,0.0,1500858.6,146712.0,2576.0,672.0,10.22996483,582.6314441,2233.420536,0.0,1575298.24,151128.0,2987.0,558.0,10.42360277,527.3847472,2823.115125,0.0,1484068.29,142075.0,3009,578.0,10.44566806,493.2098006,2567.592197,0,10.615,0.002116858,0.047947664,-18.938858735218517,False
P9045,"Infusion, albumin (human), 5%, 250 ml",Albuked-5*,Albumin Human*,10243364.21,235891.0,18545.0,4504.0,43.4241417,552.3518043,2274.281574,0.0,10328014.58,238923.0,19824.0,4794.0,43.22737694,520.9854005,2154.362658,0.0,10088553.82,197182.0,16378.0,3503.0,51.16366514,615.9820381,2879.975398,0.0,10055064.72,193780.0,14480.0,2806.0,51.8890738,694.410547,3583.415795,0.0,9495519.39,182616.0,14055,3116.0,51.99719296,675.5972529,3047.342551,0,53.077,0.00208366,0.046073413,0.8263922698107322,False
P9046,"Infusion, albumin (human), 25%, 20 ml",Albuked-25 (P9046)*,Albumin Human*,606917.39,31818.0,4119.0,896.0,19.07465554,147.3458097,677.3631585,0.0,464046.88,23998.5,3303.0,760.0,19.3364952,140.4925462,610.588,0.0,482659.7,23535.0,3301.0,756.0,20.50816656,146.2162072,638.4387566,0.0,735879.54,34974.0,4442.0,905.0,21.04075999,165.6640117,813.1265635,0.0,957467.64,45829.0,5840,1091.0,20.89217832,163.9499384,877.6055362,0,21.231,-0.007061612,0.023014419,-23.540355302720855,False
P9047,"Infusion, albumin (human), 25%, 50 ml",Albuked-25 (P9047)*,Albumin Human*,15787905.2,339428.0,84270.0,19667.0,46.51326703,187.349059,802.7612346,0.0,15634280.16,334433.0,83972.0,19898.0,46.74861679,186.1844443,785.7211861,0.0,16149142.45,315414.0,82120.0,17695.0,51.19982769,196.6529767,912.6387369,0.0,15275746.03,293581.0,79005.0,16047.0,52.03247496,193.3516364,951.9378096,0.0,14908461.51,285853.0,78423,15916.0,52.15429438,190.1031778,936.696501,0,53.077,0.002341219,0.029030642,-0.9730552473801218,False
